name,motto,description,logo,token,dex,privacy,side,language,contract language,consensus,blocktime,atomic swap,launch,Tx cost,Market Cap,Wallets,url,whitepaper,governance,turing,statechannels,type,
Ethereum,,"Ethereum is a decentralized platform that runs smart contracts: applications that run exactly as programmed without any possibility of downtime, censorship, fraud or third-party interference.",ethereum.png,TRUE,FALSE,FALSE,TRUE,"Go,C++,Rust",Solidity,PoW,14-15,FALSE,7.2015,21000 gas,,"web,windows,macos,linux, android,erc20,ledger",https://www.ethereum.org/,,Foundation,TRUE,,Public,
nuls,Adaptable blockchain for enterprise solutions,"Mission
Accommodate multitude of blockchain application usage
Break through technology bottleneck
Reduce technical threshold and cost
Resolving the lack of trust in a centralised database",nuls.png,TRUE,FALSE,FALSE,TRUE,Java,Java,PoC,,TRUE,12.2017,,,,https://nuls.io/,,,TRUE,,Public,
Ardor,,"Ardor is a blockchain-as-a-service-platform that evolved from the time-tested Nxt blockchain. It launched on January 1, 2018 after a successful year on testnet. The unique parent-child chain architecture of Ardor, with a single security chain and multiple transactional chains, offers three advantages: reducing blockchain bloat, providing multiple transactional tokens, and hosting ready-to-use interconnected blockchains called child chains.
",ardor.png,TRUE,TRUE,TRUE,TRUE,Java,Java,PoS,60,TRUE,,,,,https://www.ardorplatform.org/,https://www.jelurida.com/sites/default/files/JeluridaWhitepaper.pdf,,TRUE,,Public,
Neo,Smart Economy,"NEO Formerly known as Antshares is the People’s Republic of China’s first ever open source blockchain. Since its founding, NEO’s mission has been to improve and revolutionise the way e-commerce is done. Neo has been designed to get the existing up to date and get it plugged into the new age smart economy. Neo is making use of tech to connect and network people and businesses en masse. The Neo blockchain will implement P2P networking, digital certificates, cross-chain interoperability, Superconducting Transactions and dBFT consensus technologies to effectively execute the management of smart assets within a safe and legally binding framework.",neo.png,TRUE,FALSE,FALSE,TRUE,C#,"JS, C++, .Net, Java, Kotlin, Go",dbFT,,TRUE,,,,,http://www.neo.org,http://docs.neo.org/en-us/,,TRUE,,Public,
Waves,Accessible Blockchain Ecosystem for a Token Economy,"Waves is built in Scala, rather than the C++ used for Bitcoin and many other cryptocurrencies. Each account is generated from a mnemonic seed and a derived private key. Ordinary transaction fees are fixed at 0.001 WAVES, with a 0.003 WAVES fee for DEX transactions and a fixed 1 WAVES fee for token creation.

Algorithm

Waves is a Leased Proof-of-Stake system. Nodes are rewarded by transaction fees, and additionally the Miners Reward Token (MRT), which is a temporary measure designed to increase mining participation until adoption increases to levels where nodes are independently profitable. Waves is non-inflationary, and there are no block rewards.

Waves-NG is different to most blockchain consensus methods. Instead of selecting a miner retrospectively, who then generates a block containing pending transactions, Waves chooses a miner in advance and allows them to add new transactions to the next block as soon as they arrive. Transactions are therefore added to the blockchain as quickly as network latency allows, and blocks are confirmed in around 1 minute.

Custom tokens

Waves makes it extremely easy to create, distribute, transfer, trade and even destroy custom blockchain tokens. It takes less than 60 seconds and a fixed fee of 1 WAVES to issue a token, which can be reissuable or non-reissuable (i.e., inflationary or fixed supply), as required. Tokens have a unique id number, but tokens can have the same name to avoid squatting.

Smart contracts

Noting the problems that have occurred with Ethereum’s implementation of Turing complete smart contracts, Waves has started by implementing simple account controls such as balance freezing and multi-sig transactions. Turing-complete transactions will follow, but these will have fixed fees and the resources required to execute them will be known in advance, avoiding some of the potential attack vectors and edge cases that have affected Ethereum.

Decentralized exchange

Waves features a decentralised exchange (DEX), built into the client. All tokens on the Waves platform are automatically listed on DEX and can immediately be traded against any other token as soon as they are created.

Waves DEX uses a combination of centralised Matcher nodes with blockchain settlement to allow highly secure and private trading, in real-time, without having to wait for the next block for orders to execute.",waves.svg,TRUE,TRUE,FALSE,FALSE,Scala,Ride,LPoS,,TRUE,2016,,,,https://wavesplatform.com,https://wavesplatform.com/files/images/whitepaper_v0.pdf,,TRUE,,Public,
Cardano,,Cardano is a decentralised public blockchain and cryptocurrency project and is fully open source. Cardano is developing a smart contract platform which seeks to deliver more advanced features than any protocol previously developed. It is the first blockchain platform to evolve out of a scientific philosophy and a research-first driven approach. The development team consists of a large global collective of expert engineers and researchers,cardano.png,TRUE,FALSE,FALSE,TRUE,Haskell,"Solidity,Plutus",PoS,,TRUE,,,,,https://www.cardano.org,https://www.cardano.org/en/academic-papers/$,,TRUE,,Public,
Lisk,"Striving for Change, Exellence, Honesty, Progress","Lisk is a next generation platform that allows for the development and distribution of JavaScript based decentralized applications using an easy to use, fully featured ecosystem. Through Lisk, developers can build, publish, distribute, and monetize their applications within a custom built cryptocurrency powered system that utilizes custom blockchains, smart contracts, cloud storage, and computing nodes; all from within one industry solution.

Lisk is the first decentralized application solution written entirely in Node.js. This opens up the Lisk ecosystem to thousands of current developers with no additional skills necessary. Any web developer who is already familiar with JavaScript and Node.js can immediately jump in and begin building decentralized applications from day one.

Our core goal with Lisk was to create an entire plug and play system that would allow developers to do everything from design, development, publication, and monetization, all from within one platform. By utilizing the Lisk ecosystem, developers can quickly deploy their JavaScript apps to Lisk Hosting & Storage Nodes, gain listing in the Lisk Dapp Store, and have immediate access to Lisk Compute Nodes for execution of the code. All while being backed by the integrity and security of the Lisk sidechain consensus functionality.

To top it all off, all of these cloud functions are run by the users and Lisk delegates who are paid through a built in invoice system (or by the network itself in the case of delegates) and paid in LISK (Lisk’s own cryptocurrency) or BTC. It truly is a one stop shop for application development that provides a cutting edge, affordable, and forward-thinking solution.",lisk.jpg,TRUE,FALSE,FALSE,TRUE,Javascript,N/A,DPoS,,FALSE,,,,,https://lisk.io/,https://lisk.io/documentation,,TRUE,,Public,
Ark,,"Ark Ecosystem is a legal entity developing an open-source, public, blockchain-based distributed computing platform featuring smart bridges functionality. Ark Ecosystem is the first blockchain project to incorporate in the EU and in France. It is registered as Société Coopérative d’Intérêt Collectif (SCIC) which is “Cooperative Society of Collective Interest” or “General Interest Cooperatives”. This structure is aligned with an open source venture and with a for-profit venture. The French regulatory body of financial markets – AMF Autorité des Marchés Financiérs – and the National bank of France – Bank of France – have been in close collaboration with ARK Ecosystem and their legal advisory firm – Fieldfisher to design the SCIC structure. The lead partner that designed the SCIC structure is Arnaud Grunthaler. He is also a member of the think tank of the French Prime Minister’s Cabinet focused on policy “France Stratégie”.",ark.jpg,TRUE,FALSE,FALSE,TRUE,Javascript,Javascript,DPoS,8,TRUE,,,,,https://ark.io/,https://blog.ark.io/,,TRUE,,Public,
EOS,,,eos.svg,TRUE,FALSE,FALSE,FALSE,C++,Cpp,DPoS,,FALSE,,0,,,https://eos.io/,https://eos.io/resources,,TRUE,,Public,
ICON,Hyperconnect the World,"ICON already boasts communities comprised of reputable institutions – banks, securities, insurance, hospitals, universities, and more. ICON’s decentralized applications (DAPPs), including Blockchain ID and Payment & Exchange, can benefit current and future communities.

For instance, Blockchain ID can be issued by financial securities community and be used for ID verification in all other communities. Likewise, ICX issued by hospitals can be used for payment & exchange in all other communities.

Blockchain ID
Blockchain ID is issued through Smart Contract and can be used for verification in all communities. Open your next bank account in seconds. Receive student discounts without showing physical student IDs.

Payment & Exchange
ICON Wallet can transfer, settle, and exchange currencies in real time through DEX (Decentralized Exchange). It can be used in our everyday lives with our community network – banks, securities, insurance, universities, and much more.

Usability
ICON brings blockchain technology into our everyday lives. The team behind ICON has been building real-world applications for real communities. In addition, ICON will benefit from ‘DAVinCI,’ our artificial intelligence solution trusted by some of the largest financial institutions in the world.",icon.jpg,TRUE,FALSE,FALSE,TRUE,Python,Python,LFT,,TRUE,,,,,http://icon.foundation,http://docs.icon.foundation/ICON-Whitepaper-EN-Draft.pdf,,,,Public,
